Date,Car CPI Index
2020-01-01,101.9367991845056
2020-02-01,102.14285714285714
2020-03-01,102.0387359836901
2020-04-01,101.62281947261661
2020-05-01,101.11009081735618
2020-06-01,100.70514082661288
2020-07-01,100.40100321255017
2020-08-01,100.29969769579516
2020-09-01,100.19939799809937
2020-10-01,100.10158193563342
2020-11-01,100.10336415964414
2020-12-01,100.20143860149477
2021-01-01,100
2021-02-01,100.1
2021-03-01,100.1
2021-04-01,100.20009999999998
2021-05-01,100.20009999999998
2021-06-01,99.89949969999998
2021-07-01,99.99939919969997
2021-08-01,100.19939799809937
2021-09-01,100.70039498808985
2021-10-01,101.00249617305411
2021-11-01,101.20450116540022
2021-12-01,101.20450116540022
2022-01-01,101.00104608153471
2022-02-01,100.90042251772658
2022-03-01,100.80011104760442
2022-04-01,100.7002057182784
2022-05-01,100.39930265056176
2022-06-01,100.09870172100503
2022-07-01,99.79890300857129
2022-08-01,99.64885310533151
2022-09-01,99.52059725022949
2022-10-01,99.5040279903439
2022-11-01,99.24271553822771
2022-12-01,99.01111612345633
2023-01-01,99.14657724582344
2023-02-01,99.06582279049256
2023-03-01,97.47723850443907
2023-04-01,96.6360704237232
2023-05-01,96.21602904063323
2023-06-01,95.81281123573626
2023-07-01,95.41865563349373
2023-08-01,95.14852719109243
2023-09-01,94.90286569311904
2023-10-01,94.7204473042701
2023-11-01,94.3584328618368
2023-12-01,93.68121984229683
2024-01-01,93.59095377125593
2024-02-01,93.70040654241656
2024-03-01,93.01889461492726
2024-04-01,92.4707503213704
2024-05-01,91.66619462210076
2024-06-01,90.742132458061
2024-07-01,90.13644529066535
2024-08-01,89.89069707518784
2024-09-01,89.83691009474819
2024-10-01,89.67874993585124
2024-11-01,89.79882838512786
2024-12-01,89.7727184970241
2025-01-01,89.76322158182927
2025-02-01,89.58064189660791
2025-03-01,89.26022907967584
2025-04-01,88.97465510079758
2025-05-01,88.58415024267185
2025-06-01,88.21558319546823
2025-07-01,88.2295815675148
2025-08-01,88.20617769913704
2025-09-01,88.12399016219294
2025-10-01,88.00535992955041
2025-11-01,87.96010319352308
2025-12-01,88.05755007114863
2026-01-01,88.36924798973195
2026-02-01,88.48164571578513
2026-03-01,88.29152449207649
2026-04-01,87.9226588168481
2026-05-01,87.59034638579158
