Date,US CPI Adjusted,Retail Sales Adjusted
1955-07-01,26.76,
1955-08-01,26.72,
1955-09-01,26.85,
1955-10-01,26.82,
1955-11-01,26.88,
1955-12-01,26.87,
1956-01-01,26.83,
1956-02-01,26.86,
1956-03-01,26.89,
1956-04-01,26.93,
1956-05-01,27.03,
1956-06-01,27.15,
1956-07-01,27.29,
1956-08-01,27.31,
1956-09-01,27.35,
1956-10-01,27.51,
1956-11-01,27.51,
1956-12-01,27.63,
1957-01-01,27.67,
1957-02-01,27.8,
1957-03-01,27.86,
1957-04-01,27.93,
1957-05-01,28,
1957-06-01,28.11,
1957-07-01,28.19,
1957-08-01,28.28,
1957-09-01,28.32,
1957-10-01,28.32,
1957-11-01,28.41,
1957-12-01,28.47,
1958-01-01,28.64,
1958-02-01,28.7,
1958-03-01,28.87,
1958-04-01,28.94,
1958-05-01,28.94,
1958-06-01,28.91,
1958-07-01,28.89,
1958-08-01,28.94,
1958-09-01,28.91,
1958-10-01,28.91,
1958-11-01,28.95,
1958-12-01,28.97,
1959-01-01,29.01,
1959-02-01,29,
1959-03-01,28.97,
1959-04-01,28.98,
1959-05-01,29.04,
1959-06-01,29.11,
1959-07-01,29.15,
1959-08-01,29.18,
1959-09-01,29.25,
1959-10-01,29.35,
1959-11-01,29.35,
1959-12-01,29.41,
1960-01-01,29.37,
1960-02-01,29.41,
1960-03-01,29.41,
1960-04-01,29.54,
1960-05-01,29.57,
1960-06-01,29.61,
1960-07-01,29.55,
1960-08-01,29.61,
1960-09-01,29.61,
1960-10-01,29.75,
1960-11-01,29.78,
1960-12-01,29.81,
1961-01-01,29.84,
1961-02-01,29.84,
1961-03-01,29.84,
1961-04-01,29.81,
1961-05-01,29.84,
1961-06-01,29.84,
1961-07-01,29.92,
1961-08-01,29.94,
1961-09-01,29.98,
1961-10-01,29.98,
1961-11-01,29.98,
1961-12-01,30.01,
1962-01-01,30.04,
1962-02-01,30.11,
1962-03-01,30.17,
1962-04-01,30.21,
1962-05-01,30.24,
1962-06-01,30.21,
1962-07-01,30.22,
1962-08-01,30.28,
1962-09-01,30.42,
1962-10-01,30.38,
1962-11-01,30.38,
1962-12-01,30.38,
1963-01-01,30.44,
1963-02-01,30.48,
1963-03-01,30.51,
1963-04-01,30.48,
1963-05-01,30.51,
1963-06-01,30.61,
1963-07-01,30.69,
1963-08-01,30.75,
1963-09-01,30.72,
1963-10-01,30.75,
1963-11-01,30.78,
1963-12-01,30.88,
1964-01-01,30.94,
1964-02-01,30.91,
1964-03-01,30.94,
1964-04-01,30.95,
1964-05-01,30.98,
1964-06-01,31.01,
1964-07-01,31.02,
1964-08-01,31.05,
1964-09-01,31.08,
1964-10-01,31.12,
1964-11-01,31.21,
1964-12-01,31.25,
1965-01-01,31.28,
1965-02-01,31.28,
1965-03-01,31.31,
1965-04-01,31.38,
1965-05-01,31.48,
1965-06-01,31.61,
1965-07-01,31.58,
1965-08-01,31.55,
1965-09-01,31.62,
1965-10-01,31.65,
1965-11-01,31.75,
1965-12-01,31.85,
1966-01-01,31.88,
1966-02-01,32.08,
1966-03-01,32.18,
1966-04-01,32.28,
1966-05-01,32.35,
1966-06-01,32.38,
1966-07-01,32.45,
1966-08-01,32.65,
1966-09-01,32.75,
1966-10-01,32.85,
1966-11-01,32.88,
1966-12-01,32.92,
1967-01-01,32.9,
1967-02-01,33,
1967-03-01,33,
1967-04-01,33.1,
1967-05-01,33.1,
1967-06-01,33.3,
1967-07-01,33.4,
1967-08-01,33.5,
1967-09-01,33.6,
1967-10-01,33.7,
1967-11-01,33.9,
1967-12-01,34,
1968-01-01,34.1,
1968-02-01,34.2,
1968-03-01,34.3,
1968-04-01,34.4,
1968-05-01,34.5,
1968-06-01,34.7,
1968-07-01,34.9,
1968-08-01,35,
1968-09-01,35.1,
1968-10-01,35.3,
1968-11-01,35.4,
1968-12-01,35.6,
1969-01-01,35.7,
1969-02-01,35.8,
1969-03-01,36.1,
1969-04-01,36.3,
1969-05-01,36.4,
1969-06-01,36.6,
1969-07-01,36.8,
1969-08-01,36.9,
1969-09-01,37.1,
1969-10-01,37.3,
1969-11-01,37.5,
1969-12-01,37.7,
1970-01-01,37.9,
1970-02-01,38.1,
1970-03-01,38.3,
1970-04-01,38.5,
1970-05-01,38.6,
1970-06-01,38.8,
1970-07-01,38.9,
1970-08-01,39,
1970-09-01,39.2,
1970-10-01,39.4,
1970-11-01,39.6,
1970-12-01,39.8,
1971-01-01,39.9,
1971-02-01,39.9,
1971-03-01,40,
1971-04-01,40.1,
1971-05-01,40.3,
1971-06-01,40.5,
1971-07-01,40.6,
1971-08-01,40.7,
1971-09-01,40.8,
1971-10-01,40.9,
1971-11-01,41,
1971-12-01,41.1,
1972-01-01,41.2,
1972-02-01,41.4,
1972-03-01,41.4,
1972-04-01,41.5,
1972-05-01,41.6,
1972-06-01,41.7,
1972-07-01,41.8,
1972-08-01,41.9,
1972-09-01,42.1,
1972-10-01,42.2,
1972-11-01,42.4,
1972-12-01,42.5,
1973-01-01,42.7,
1973-02-01,43,
1973-03-01,43.4,
1973-04-01,43.7,
1973-05-01,43.9,
1973-06-01,44.2,
1973-07-01,44.2,
1973-08-01,45,
1973-09-01,45.2,
1973-10-01,45.6,
1973-11-01,45.9,
1973-12-01,46.3,
1974-01-01,46.8,
1974-02-01,47.3,
1974-03-01,47.8,
1974-04-01,48.1,
1974-05-01,48.6,
1974-06-01,49,
1974-07-01,49.3,
1974-08-01,49.9,
1974-09-01,50.6,
1974-10-01,51,
1974-11-01,51.5,
1974-12-01,51.9,
1975-01-01,52.3,
1975-02-01,52.6,
1975-03-01,52.8,
1975-04-01,53,
1975-05-01,53.1,
1975-06-01,53.5,
1975-07-01,54,
1975-08-01,54.2,
1975-09-01,54.6,
1975-10-01,54.9,
1975-11-01,55.3,
1975-12-01,55.6,
1976-01-01,55.8,
1976-02-01,55.9,
1976-03-01,56,
1976-04-01,56.1,
1976-05-01,56.4,
1976-06-01,56.7,
1976-07-01,57,
1976-08-01,57.3,
1976-09-01,57.6,
1976-10-01,57.9,
1976-11-01,58.1,
1976-12-01,58.4,
1977-01-01,58.7,
1977-02-01,59.3,
1977-03-01,59.6,
1977-04-01,60,
1977-05-01,60.2,
1977-06-01,60.5,
1977-07-01,60.8,
1977-08-01,61.1,
1977-09-01,61.3,
1977-10-01,61.6,
1977-11-01,62,
1977-12-01,62.3,
1978-01-01,62.7,
1978-02-01,63,
1978-03-01,63.4,
1978-04-01,63.9,
1978-05-01,64.5,
1978-06-01,65,
1978-07-01,65.5,
1978-08-01,65.9,
1978-09-01,66.5,
1978-10-01,67.1,
1978-11-01,67.5,
1978-12-01,67.9,
1979-01-01,68.5,
1979-02-01,69.2,
1979-03-01,69.9,
1979-04-01,70.6,
1979-05-01,71.4,
1979-06-01,72.2,
1979-07-01,73,
1979-08-01,73.7,
1979-09-01,74.4,
1979-10-01,75.2,
1979-11-01,76,
1979-12-01,76.9,
1980-01-01,78,
1980-02-01,79,
1980-03-01,80.1,
1980-04-01,80.9,
1980-05-01,81.7,
1980-06-01,82.5,
1980-07-01,82.6,
1980-08-01,83.2,
1980-09-01,83.9,
1980-10-01,84.7,
1980-11-01,85.6,
1980-12-01,86.4,
1981-01-01,87.2,
1981-02-01,88,
1981-03-01,88.6,
1981-04-01,89.1,
1981-05-01,89.7,
1981-06-01,90.5,
1981-07-01,91.5,
1981-08-01,92.2,
1981-09-01,93.1,
1981-10-01,93.4,
1981-11-01,93.8,
1981-12-01,94.1,
1982-01-01,94.4,
1982-02-01,94.7,
1982-03-01,94.7,
1982-04-01,95,
1982-05-01,95.9,
1982-06-01,97,
1982-07-01,97.5,
1982-08-01,97.7,
1982-09-01,97.7,
1982-10-01,98.1,
1982-11-01,98,
1982-12-01,97.7,
1983-01-01,97.9,
1983-02-01,98,
1983-03-01,98.1,
1983-04-01,98.8,
1983-05-01,99.2,
1983-06-01,99.4,
1983-07-01,99.8,
1983-08-01,100.1,
1983-09-01,100.4,
1983-10-01,100.8,
1983-11-01,101.1,
1983-12-01,101.4,
1984-01-01,102.1,
1984-02-01,102.6,
1984-03-01,102.9,
1984-04-01,103.3,
1984-05-01,103.5,
1984-06-01,103.7,
1984-07-01,104.1,
1984-08-01,104.4,
1984-09-01,104.7,
1984-10-01,105.1,
1984-11-01,105.3,
1984-12-01,105.5,
1985-01-01,105.7,
1985-02-01,106.3,
1985-03-01,106.8,
1985-04-01,107,
1985-05-01,107.2,
1985-06-01,107.5,
1985-07-01,107.7,
1985-08-01,107.9,
1985-09-01,108.1,
1985-10-01,108.5,
1985-11-01,109,
1985-12-01,109.5,
1986-01-01,109.9,
1986-02-01,109.7,
1986-03-01,109.1,
1986-04-01,108.7,
1986-05-01,109,
1986-06-01,109.4,
1986-07-01,109.5,
1986-08-01,109.6,
1986-09-01,110,
1986-10-01,110.2,
1986-11-01,110.4,
1986-12-01,110.8,
1987-01-01,111.4,
1987-02-01,111.8,
1987-03-01,112.2,
1987-04-01,112.7,
1987-05-01,113,
1987-06-01,113.5,
1987-07-01,113.8,
1987-08-01,114.3,
1987-09-01,114.7,
1987-10-01,115,
1987-11-01,115.4,
1987-12-01,115.6,
1988-01-01,116,
1988-02-01,116.2,
1988-03-01,116.5,
1988-04-01,117.2,
1988-05-01,117.5,
1988-06-01,118,
1988-07-01,118.5,
1988-08-01,119,
1988-09-01,119.5,
1988-10-01,119.9,
1988-11-01,120.3,
1988-12-01,120.7,
1989-01-01,121.2,
1989-02-01,121.6,
1989-03-01,122.2,
1989-04-01,123.1,
1989-05-01,123.7,
1989-06-01,124.1,
1989-07-01,124.5,
1989-08-01,124.5,
1989-09-01,124.8,
1989-10-01,125.4,
1989-11-01,125.9,
1989-12-01,126.3,
1990-01-01,127.5,
1990-02-01,128,
1990-03-01,128.6,
1990-04-01,128.9,
1990-05-01,129.1,
1990-06-01,129.9,
1990-07-01,130.5,
1990-08-01,131.6,
1990-09-01,132.5,
1990-10-01,133.4,
1990-11-01,133.7,
1990-12-01,134.2,
1991-01-01,134.7,
1991-02-01,134.8,
1991-03-01,134.8,
1991-04-01,135.1,
1991-05-01,135.6,
1991-06-01,136,
1991-07-01,136.2,
1991-08-01,136.6,
1991-09-01,137,
1991-10-01,137.2,
1991-11-01,137.8,
1991-12-01,138.2,
1992-01-01,138.3,164095
1992-02-01,138.6,164213
1992-03-01,139.1,163721
1992-04-01,139.4,164709
1992-05-01,139.7,165612
1992-06-01,140.1,166077
1992-07-01,140.5,167257
1992-08-01,140.8,167800
1992-09-01,141.1,169400
1992-10-01,141.7,170625
1992-11-01,142.1,171003
1992-12-01,142.3,173105
1993-01-01,142.8,175108
1993-02-01,143.1,173744
1993-03-01,143.3,172306
1993-04-01,143.8,176749
1993-05-01,144.2,178426
1993-06-01,144.3,178157
1993-07-01,144.5,180743
1993-08-01,144.8,180707
1993-09-01,145,181773
1993-10-01,145.6,182884
1993-11-01,146,184747
1993-12-01,146.3,186399
1994-01-01,146.3,185142
1994-02-01,146.7,188074
1994-03-01,147.1,191579
1994-04-01,147.2,191639
1994-05-01,147.5,190929
1994-06-01,147.9,193130
1994-07-01,148.4,193743
1994-08-01,149,196163
1994-09-01,149.3,197765
1994-10-01,149.4,199571
1994-11-01,149.8,199731
1994-12-01,150.1,200702
1995-01-01,150.5,201573
1995-02-01,150.9,198399
1995-03-01,151.2,200247
1995-04-01,151.8,201032
1995-05-01,152.1,202986
1995-06-01,152.4,205500
1995-07-01,152.6,204920
1995-08-01,152.9,206521
1995-09-01,153.1,207006
1995-10-01,153.5,206176
1995-11-01,153.7,208664
1995-12-01,153.9,210399
1996-01-01,154.7,208699
1996-02-01,155,212008
1996-03-01,155.5,213891
1996-04-01,156.1,214676
1996-05-01,156.4,216299
1996-06-01,156.7,216068
1996-07-01,157,216332
1996-08-01,157.2,216358
1996-09-01,157.7,219256
1996-10-01,158.2,221060
1996-11-01,158.7,220963
1996-12-01,159.1,221991
1997-01-01,159.4,223481
1997-02-01,159.7,225422
1997-03-01,159.8,226161
1997-04-01,159.9,224615
1997-05-01,159.9,222929
1997-06-01,160.2,226057
1997-07-01,160.4,228703
1997-08-01,160.8,229309
1997-09-01,161.2,230312
1997-10-01,161.5,229836
1997-11-01,161.7,230440
1997-12-01,161.8,231181
1998-01-01,162,231587
1998-02-01,162,231684
1998-03-01,162,233083
1998-04-01,162.2,235986
1998-05-01,162.6,237075
1998-06-01,162.8,238971
1998-07-01,163.2,237411
1998-08-01,163.4,236379
1998-09-01,163.5,238550
1998-10-01,163.9,242549
1998-11-01,164.1,244291
1998-12-01,164.4,246530
1999-01-01,164.7,246868
1999-02-01,164.7,249520
1999-03-01,164.8,250667
1999-04-01,165.9,252477
1999-05-01,166,254735
1999-06-01,166,255449
1999-07-01,166.7,257456
1999-08-01,167.1,260230
1999-09-01,167.8,261317
1999-10-01,168.1,261818
1999-11-01,168.4,264965
1999-12-01,168.8,269863
2000-01-01,169.3,268044
2000-02-01,170,272020
2000-03-01,171,275192
2000-04-01,170.9,271046
2000-05-01,171.2,271394
2000-06-01,172.2,273422
2000-07-01,172.7,272630
2000-08-01,172.7,272918
2000-09-01,173.6,277548
2000-10-01,173.9,276927
2000-11-01,174.2,276029
2000-12-01,174.6,275791
2001-01-01,175.6,278834
2001-02-01,176,278773
2001-03-01,176.1,276450
2001-04-01,176.4,280808
2001-05-01,177.3,281496
2001-06-01,177.7,280401
2001-07-01,177.4,279504
2001-08-01,177.4,281413
2001-09-01,178.1,276084
2001-10-01,177.6,294540
2001-11-01,177.5,287111
2001-12-01,177.4,283705
2002-01-01,177.7,283508
2002-02-01,178,285054
2002-03-01,178.5,284262
2002-04-01,179.3,288833
2002-05-01,179.5,284951
2002-06-01,179.6,287372
2002-07-01,180,290385
2002-08-01,180.5,292650
2002-09-01,180.8,288410
2002-10-01,181.2,289576
2002-11-01,181.5,291484
2002-12-01,181.8,293947
2003-01-01,182.6,295248
2003-02-01,183.6,291167
2003-03-01,183.9,296325
2003-04-01,183.2,295600
2003-05-01,182.9,296410
2003-06-01,183.1,299626
2003-07-01,183.7,302747
2003-08-01,184.5,307809
2003-09-01,185.1,305933
2003-10-01,184.9,304809
2003-11-01,185,308527
2003-12-01,185.5,307407
2004-01-01,186.3,309254
2004-02-01,186.7,311393
2004-03-01,187.1,316912
2004-04-01,187.4,313512
2004-05-01,188.2,318964
2004-06-01,188.9,314958
2004-07-01,189.1,318549
2004-08-01,189.2,318977
2004-09-01,189.8,324569
2004-10-01,190.8,326740
2004-11-01,191.7,327836
2004-12-01,191.7,331874
2005-01-01,191.6,328696
2005-02-01,192.4,333026
2005-03-01,193.1,333581
2005-04-01,193.7,336583
2005-05-01,193.6,334522
2005-06-01,193.7,343998
2005-07-01,194.9,346576
2005-08-01,196.1,343307
2005-09-01,198.8,343956
2005-10-01,199.1,344097
2005-11-01,198.1,347325
2005-12-01,198.1,347405
2006-01-01,199.3,357331
2006-02-01,199.4,354706
2006-03-01,199.7,355665
2006-04-01,200.7,357423
2006-05-01,201.3,356704
2006-06-01,201.8,357879
2006-07-01,202.9,359006
2006-08-01,203.8,360691
2006-09-01,202.8,358961
2006-10-01,201.9,358462
2006-11-01,202,359266
2006-12-01,203.1,363730
2007-01-01,203.437,363616
2007-02-01,204.226,364006
2007-03-01,205.288,367158
2007-04-01,205.904,366187
2007-05-01,206.755,370934
2007-06-01,207.234,368154
2007-07-01,207.603,369614
2007-08-01,207.667,371358
2007-09-01,208.547,372869
2007-10-01,209.19,375289
2007-11-01,210.834,378860
2007-12-01,211.445,374298
2008-01-01,212.174,375236
2008-02-01,212.687,371833
2008-03-01,213.448,372745
2008-04-01,213.942,372572
2008-05-01,215.208,376036
2008-06-01,217.463,376455
2008-07-01,219.016,375038
2008-08-01,218.69,372284
2008-09-01,218.877,366729
2008-10-01,216.995,352950
2008-11-01,213.153,339350
2008-12-01,211.398,332091
2009-01-01,211.933,336929
2009-02-01,212.705,335576
2009-03-01,212.495,329747
2009-04-01,212.709,331352
2009-05-01,213.022,334256
2009-06-01,214.79,339883
2009-07-01,214.726,340517
2009-08-01,215.445,346668
2009-09-01,215.861,338507
2009-10-01,216.509,341654
2009-11-01,217.234,344375
2009-12-01,217.347,346072
2010-01-01,217.488,346046
2010-02-01,217.281,346702
2010-03-01,217.353,354147
2010-04-01,217.403,357304
2010-05-01,217.29,354015
2010-06-01,217.199,353683
2010-07-01,217.605,354622
2010-08-01,217.923,356573
2010-09-01,218.275,359257
2010-10-01,219.035,363557
2010-11-01,219.59,367050
2010-12-01,220.472,369192
2011-01-01,221.187,371782
2011-02-01,221.898,375001
2011-03-01,223.046,378434
2011-04-01,224.093,380295
2011-05-01,224.806,380140
2011-06-01,224.806,383141
2011-07-01,225.395,382882
2011-08-01,226.106,383682
2011-09-01,226.597,387558
2011-10-01,226.75,389844
2011-11-01,227.169,391167
2011-12-01,227.223,391535
2012-01-01,227.842,395459
2012-02-01,228.329,400155
2012-03-01,228.807,401556
2012-04-01,229.187,399953
2012-05-01,228.713,399106
2012-06-01,228.524,395630
2012-07-01,228.59,397399
2012-08-01,229.918,402164
2012-09-01,231.015,405251
2012-10-01,231.638,405422
2012-11-01,231.249,407266
2012-12-01,231.221,408758
2013-01-01,231.679,412017
2013-02-01,232.937,417067
2013-03-01,232.282,414115
2013-04-01,231.797,411862
2013-05-01,231.893,414350
2013-06-01,232.445,415454
2013-07-01,232.9,418215
2013-08-01,233.456,417389
2013-09-01,233.544,417699
2013-10-01,233.669,419288
2013-11-01,234.1,420468
2013-12-01,234.719,422930
2014-01-01,235.288,419051
2014-02-01,235.547,424784
2014-03-01,236.028,429251
2014-04-01,236.468,433581
2014-05-01,236.918,434292
2014-06-01,237.231,435487
2014-07-01,237.498,436102
2014-08-01,237.46,439643
2014-09-01,237.477,438535
2014-10-01,237.43,440128
2014-11-01,236.983,441139
2014-12-01,236.252,438604
2015-01-01,234.747,436142
2015-02-01,235.342,435398
2015-03-01,235.976,442001
2015-04-01,236.222,442898
2015-05-01,237.001,446305
2015-06-01,237.657,446649
2015-07-01,238.034,450262
2015-08-01,238.033,450270
2015-09-01,237.498,448091
2015-10-01,237.733,447083
2015-11-01,238.017,448892
2015-12-01,237.761,450611
2016-01-01,237.652,447561
2016-02-01,237.336,451821
2016-03-01,238.08,450561
2016-04-01,238.992,452443
2016-05-01,239.557,454003
2016-06-01,240.222,458757
2016-07-01,240.101,458192
2016-08-01,240.545,458505
2016-09-01,241.176,461454
2016-10-01,241.741,462455
2016-11-01,242.026,462288
2016-12-01,242.637,467979
2017-01-01,243.618,473101
2017-02-01,244.006,472927
2017-03-01,243.892,472170
2017-04-01,244.193,473916
2017-05-01,244.004,471486
2017-06-01,244.163,473538
2017-07-01,244.243,473583
2017-08-01,245.183,474421
2017-09-01,246.435,484107
2017-10-01,246.626,485016
2017-11-01,247.284,489917
2017-12-01,247.805,492859
2018-01-01,248.859,490447
2018-02-01,249.529,493422
2018-03-01,249.577,493123
2018-04-01,250.227,494303
2018-05-01,250.792,500585
2018-06-01,251.018,498989
2018-07-01,251.214,502441
2018-08-01,251.663,502076
2018-09-01,252.182,499995
2018-10-01,252.772,505338
2018-11-01,252.594,507073
2018-12-01,252.767,496683
2019-01-01,252.718,499639
2019-02-01,253.322,500570
2019-03-01,254.202,508402
2019-04-01,255.211,508687
2019-05-01,255.29,512334
2019-06-01,255.159,513162
2019-07-01,255.685,517547
2019-08-01,256.059,521011
2019-09-01,256.511,518121
2019-10-01,257.244,519530
2019-11-01,257.803,523313
2019-12-01,258.616,525405
2020-01-01,259.037,524991
2020-02-01,259.248,525359
2020-03-01,258.124,478099
2020-04-01,256.092,408187
2020-05-01,255.868,485791
2020-06-01,256.986,527459
2020-07-01,258.278,535844
2020-08-01,259.411,541193
2020-09-01,260.029,551970
2020-10-01,260.286,549765
2020-11-01,260.813,544839
2020-12-01,262.035,550198
2021-01-01,262.65,569309
2021-02-01,263.638,554929
2021-03-01,264.914,615573
2021-04-01,266.67,620556
2021-05-01,268.444,615378
2021-06-01,270.559,621612
2021-07-01,271.764,612394
2021-08-01,272.87,617658
2021-09-01,274.028,622104
2021-10-01,276.522,632065
2021-11-01,278.711,639228
2021-12-01,280.887,635598
2022-01-01,282.599,644750
2022-02-01,284.61,653552
2022-03-01,287.472,667050
2022-04-01,288.611,675899
2022-05-01,291.268,674915
2022-06-01,294.728,680515
2022-07-01,294.628,675822
2022-08-01,295.32,680721
2022-09-01,296.539,680387
2022-10-01,297.987,687498
2022-11-01,298.598,678482
2022-12-01,298.99,673619
2023-01-01,300.536,692501
2023-02-01,301.648,687942
2023-03-01,301.808,681673
2023-04-01,302.918,684636
2023-05-01,303.294,689158
2023-06-01,303.841,690518
2023-07-01,304.348,694415
2023-08-01,306.269,699540
2023-09-01,307.481,705701
2023-10-01,307.619,704954
